StringId,X,Y,Z,Description,Width,Height,Rolling Resistance,Traction Coefficient,Ground Structure,Locked,Enabled (Fwd),Empty Only (Fwd),Full Only (Fwd),Maximum Speed Full (Fwd),Maximum Final Speed Full (Fwd),Maximum Speed Empty (Fwd),Maximum Final Speed Empty (Fwd),Enabled (Rev),Empty Only (Rev),Full Only (Rev),Maximum Speed Full (Rev),Maximum Final Speed Full (Rev),Maximum Speed Empty (Rev),Maximum Final Speed Empty (Rev)
16,10426.621,9374.237,1145.759,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
16,10504.015,9328.581,1154.44,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
16,10558.467,9284.455,1161.006,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
16,10597.77,9225.926,1167.437,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
16,10610.105,9150.803,1173.739,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
16,10578.132,9076.266,1180.782,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
16,10554.078,9003.425,1184.612,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
16,10515.988,8902.806,1189.951,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
16,10482.844,8820.39,1190,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
16,10474.927,8918.999,1190.505,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
16,10474.258,8989.848,1196.984,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
16,10454.134,9059.791,1203.159,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
16,10420.529,9106.02,1208.587,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
16,10359.3,9129.574,1213.929,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
16,10262.376,9104.148,1223.403,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
16,10198.724,9089.836,1229.791,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
16,10097.662,9069.26,1239.995,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
16,10049.173,9065.551,1240,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
16,9954.869,9055.727,1240,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
17,10121.984,9496.573,1120.004,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
17,10037.71,9482.655,1120.818,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
17,9932.243,9449.715,1131.436,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
17,9727.228,9381.644,1152.073,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
17,9613.896,9349.091,1160,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
17,9523.654,9327.269,1168.629,,6,6,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
